measureKey,metricName,countyFips,countyName,value,unit,period,periodEnd,marginOfError90,derivation,formula,sourceIds
equity.commuting_and_job_access.worked_from_home_pct,Workers working from home,06041,Marin,31.46419474,percent,2024,2024-12-31,1.04036303,derived,People working from home divided by workers age 16 and over.,['CENSUS_ACS5_DETAIL']
equity.commuting_and_job_access.worked_from_home_pct,Workers working from home,06055,Napa,14.55581731,percent,2024,2024-12-31,1.04548819,derived,People working from home divided by workers age 16 and over.,['CENSUS_ACS5_DETAIL']
equity.commuting_and_job_access.worked_from_home_pct,Workers working from home,06075,San Francisco,31.00079762,percent,2024,2024-12-31,0.63382128,derived,People working from home divided by workers age 16 and over.,['CENSUS_ACS5_DETAIL']
equity.commuting_and_job_access.worked_from_home_pct,Workers working from home,06081,San Mateo,24.25330543,percent,2024,2024-12-31,0.57127071,derived,People working from home divided by workers age 16 and over.,['CENSUS_ACS5_DETAIL']
equity.commuting_and_job_access.worked_from_home_pct,Workers working from home,06085,Santa Clara,23.87581248,percent,2024,2024-12-31,0.43927513,derived,People working from home divided by workers age 16 and over.,['CENSUS_ACS5_DETAIL']
equity.commuting_and_job_access.worked_from_home_pct,Workers working from home,06095,Solano,12.24886838,percent,2024,2024-12-31,0.79849913,derived,People working from home divided by workers age 16 and over.,['CENSUS_ACS5_DETAIL']
equity.commuting_and_job_access.worked_from_home_pct,Workers working from home,06097,Sonoma,15.91767722,percent,2024,2024-12-31,0.58629629,derived,People working from home divided by workers age 16 and over.,['CENSUS_ACS5_DETAIL']
equity.commuting_and_job_access.inbound_job_share_pct,Inbound share of primary jobs,06001,Alameda,57.38697201,percent,2023,2023-12-31,,derived,Primary jobs located in the county with a home geocode outside the county divided by county primary jobs.,['CENSUS_LEHD_LODES']
equity.commuting_and_job_access.inbound_job_share_pct,Inbound share of primary jobs,06013,Contra Costa,51.52697062,percent,2023,2023-12-31,,derived,Primary jobs located in the county with a home geocode outside the county divided by county primary jobs.,['CENSUS_LEHD_LODES']
equity.commuting_and_job_access.inbound_job_share_pct,Inbound share of primary jobs,06041,Marin,63.96544923,percent,2023,2023-12-31,,derived,Primary jobs located in the county with a home geocode outside the county divided by county primary jobs.,['CENSUS_LEHD_LODES']
equity.commuting_and_job_access.inbound_job_share_pct,Inbound share of primary jobs,06055,Napa,55.91198848,percent,2023,2023-12-31,,derived,Primary jobs located in the county with a home geocode outside the county divided by county primary jobs.,['CENSUS_LEHD_LODES']
equity.commuting_and_job_access.inbound_job_share_pct,Inbound share of primary jobs,06075,San Francisco,66.52466525,percent,2023,2023-12-31,,derived,Primary jobs located in the county with a home geocode outside the county divided by county primary jobs.,['CENSUS_LEHD_LODES']
equity.commuting_and_job_access.inbound_job_share_pct,Inbound share of primary jobs,06081,San Mateo,67.40209922,percent,2023,2023-12-31,,derived,Primary jobs located in the county with a home geocode outside the county divided by county primary jobs.,['CENSUS_LEHD_LODES']
equity.commuting_and_job_access.inbound_job_share_pct,Inbound share of primary jobs,06085,Santa Clara,43.76625743,percent,2023,2023-12-31,,derived,Primary jobs located in the county with a home geocode outside the county divided by county primary jobs.,['CENSUS_LEHD_LODES']
equity.commuting_and_job_access.inbound_job_share_pct,Inbound share of primary jobs,06095,Solano,51.45733125,percent,2023,2023-12-31,,derived,Primary jobs located in the county with a home geocode outside the county divided by county primary jobs.,['CENSUS_LEHD_LODES']
equity.commuting_and_job_access.inbound_job_share_pct,Inbound share of primary jobs,06097,Sonoma,32.85134985,percent,2023,2023-12-31,,derived,Primary jobs located in the county with a home geocode outside the county divided by county primary jobs.,['CENSUS_LEHD_LODES']
