domain,metric_id,metric_name,county_fips,county_name,period,period_end,frequency,value,unit,margin_of_error,source_ids,source_releases,retrieved_at,raw_sha256s,calculation,notes,comparability_status
eviction_filings,renter_households,Renter-occupied households,06085,Santa Clara,2024,2024-12-31,annual five-year estimate,296206.0,households,3317.0,CENSUS_ACS5_BULK,ACS5-2024-B25003,2026-08-08T22:58:45Z,ab37c35ae81c77010783482e6bf5fc62d8b850e600c47d20497bf5a56e8eb9c7,published,"ACS five-year estimate used as an exposure denominator, not a count of leases.",comparable_within_series
eviction_filings,renter_households,Renter-occupied households,06095,Solano,2024,2024-12-31,annual five-year estimate,58249.0,households,1432.0,CENSUS_ACS5_BULK,ACS5-2024-B25003,2026-08-08T22:58:45Z,ab37c35ae81c77010783482e6bf5fc62d8b850e600c47d20497bf5a56e8eb9c7,published,"ACS five-year estimate used as an exposure denominator, not a count of leases.",comparable_within_series
eviction_filings,renter_households,Renter-occupied households,06097,Sonoma,2024,2024-12-31,annual five-year estimate,71400.0,households,1708.0,CENSUS_ACS5_BULK,ACS5-2024-B25003,2026-08-08T22:58:45Z,ab37c35ae81c77010783482e6bf5fc62d8b850e600c47d20497bf5a56e8eb9c7,published,"ACS five-year estimate used as an exposure denominator, not a count of leases.",comparable_within_series
eviction_filings,unlawful_detainer_dispositions,Limited civil unlawful-detainer dispositions,06001,Alameda,FY2023-24,2024-06-30,annual fiscal year,5647.0,court cases,,CA_COURTS_COURT_STATISTICS,California-Court-Statistics-through-FY2023-24,2026-08-08T22:58:45Z,fa5d2f3d78d4512e671f27f0c2436a34e81553dd61b84106ea3e4fff497fa5bf,published,A court filing or disposition is not an executed eviction. Unlimited civil cases and informal displacement are not captured.,pandemic_policy_and_backlog_context_required
eviction_filings,unlawful_detainer_dispositions,Limited civil unlawful-detainer dispositions,06013,Contra Costa,FY2023-24,2024-06-30,annual fiscal year,3662.0,court cases,,CA_COURTS_COURT_STATISTICS,California-Court-Statistics-through-FY2023-24,2026-08-08T22:58:45Z,fa5d2f3d78d4512e671f27f0c2436a34e81553dd61b84106ea3e4fff497fa5bf,published,A court filing or disposition is not an executed eviction. Unlimited civil cases and informal displacement are not captured.,pandemic_policy_and_backlog_context_required
eviction_filings,unlawful_detainer_dispositions,Limited civil unlawful-detainer dispositions,06041,Marin,FY2023-24,2024-06-30,annual fiscal year,389.0,court cases,,CA_COURTS_COURT_STATISTICS,California-Court-Statistics-through-FY2023-24,2026-08-08T22:58:45Z,fa5d2f3d78d4512e671f27f0c2436a34e81553dd61b84106ea3e4fff497fa5bf,published,A court filing or disposition is not an executed eviction. Unlimited civil cases and informal displacement are not captured.,pandemic_policy_and_backlog_context_required
eviction_filings,unlawful_detainer_dispositions,Limited civil unlawful-detainer dispositions,06055,Napa,FY2023-24,2024-06-30,annual fiscal year,243.0,court cases,,CA_COURTS_COURT_STATISTICS,California-Court-Statistics-through-FY2023-24,2026-08-08T22:58:45Z,fa5d2f3d78d4512e671f27f0c2436a34e81553dd61b84106ea3e4fff497fa5bf,published,A court filing or disposition is not an executed eviction. Unlimited civil cases and informal displacement are not captured.,pandemic_policy_and_backlog_context_required
eviction_filings,unlawful_detainer_dispositions,Limited civil unlawful-detainer dispositions,06075,San Francisco,FY2023-24,2024-06-30,annual fiscal year,2392.0,court cases,,CA_COURTS_COURT_STATISTICS,California-Court-Statistics-through-FY2023-24,2026-08-08T22:58:45Z,fa5d2f3d78d4512e671f27f0c2436a34e81553dd61b84106ea3e4fff497fa5bf,published,A court filing or disposition is not an executed eviction. Unlimited civil cases and informal displacement are not captured.,pandemic_policy_and_backlog_context_required
eviction_filings,unlawful_detainer_dispositions,Limited civil unlawful-detainer dispositions,06081,San Mateo,FY2023-24,2024-06-30,annual fiscal year,1651.0,court cases,,CA_COURTS_COURT_STATISTICS,California-Court-Statistics-through-FY2023-24,2026-08-08T22:58:45Z,fa5d2f3d78d4512e671f27f0c2436a34e81553dd61b84106ea3e4fff497fa5bf,published,A court filing or disposition is not an executed eviction. Unlimited civil cases and informal displacement are not captured.,pandemic_policy_and_backlog_context_required
eviction_filings,unlawful_detainer_dispositions,Limited civil unlawful-detainer dispositions,06085,Santa Clara,FY2023-24,2024-06-30,annual fiscal year,3167.0,court cases,,CA_COURTS_COURT_STATISTICS,California-Court-Statistics-through-FY2023-24,2026-08-08T22:58:45Z,fa5d2f3d78d4512e671f27f0c2436a34e81553dd61b84106ea3e4fff497fa5bf,published,A court filing or disposition is not an executed eviction. Unlimited civil cases and informal displacement are not captured.,pandemic_policy_and_backlog_context_required
eviction_filings,unlawful_detainer_dispositions,Limited civil unlawful-detainer dispositions,06095,Solano,FY2023-24,2024-06-30,annual fiscal year,0.0,court cases,,CA_COURTS_COURT_STATISTICS,California-Court-Statistics-through-FY2023-24,2026-08-08T22:58:45Z,fa5d2f3d78d4512e671f27f0c2436a34e81553dd61b84106ea3e4fff497fa5bf,published,A court filing or disposition is not an executed eviction. Unlimited civil cases and informal displacement are not captured.,pandemic_policy_and_backlog_context_required
eviction_filings,unlawful_detainer_dispositions,Limited civil unlawful-detainer dispositions,06097,Sonoma,FY2023-24,2024-06-30,annual fiscal year,875.0,court cases,,CA_COURTS_COURT_STATISTICS,California-Court-Statistics-through-FY2023-24,2026-08-08T22:58:45Z,fa5d2f3d78d4512e671f27f0c2436a34e81553dd61b84106ea3e4fff497fa5bf,published,A court filing or disposition is not an executed eviction. Unlimited civil cases and informal displacement are not captured.,pandemic_policy_and_backlog_context_required
